filename,prompt
img001.jpg,"쿠션을 사선에서 바라본 이미지, 색상은 보라색 계열, 쿠션 앞쪽 주머니는 에머랄드색 계열, 주머니에 달린 tag는 노란색, 겨냥도"
img002.jpg,img001.jpg 의 확대 이미지
img003.jpg,쿠션을 정면에서 바라본 정면 이미지
img004.jpg,쿠션을 정면 위쪽에서 바라본 위쪽 이미지
img005.jpg,쿠션을 밑에서 바라본 밑면 이미지
img006.jpg,"쿠션을 옆면에서 가까이 다가가서 본 쿠션 윗부분 경사면, 경사각도 이미지"
img007.jpg,"쿠션의 양쪽 가장자리 밑부분, 안전벨트 클립을 수용하기 위해 직각으로 홈을 만들어 놓은 이미지"
img008.jpg,쿠션을 2개 겹쳐 놓은 이미지
img009.jpg,"쿠션을 2개 겹쳐 놓고, 가까이 다가가서 쿠션 앞에 있는 주머니를 본 이미지 "
img010.png,"쿠션의 색상을 블루 색상으로 변경한 이미지, 쿠션 앞 주머니는 좀 더 진한 블루 색상, 주머니에 달린 tag는 노란색"
img011.png,"쿠션의 색상을 스타벅스 그린 색상으로 변경한 이미지, 쿠션 앞쪽 주머니도 같은 그린 색상, 주머니에 달린 tag는 흰색"
img012.jpg,"img008.jpg 와 비슷하게 쿠션 2개를 겹쳐놓은 이미지, 아래쪽 쿠션은 2021년 팬톤이 선정한 일루미네이팅, 주머니는 얼티밋 그레이, 위쪽 쿠션은 얼티밋 그레이, 주머니는 일루미네이팅 색상"
img013.jpg,img012.jpg 와 같은 쿠션들을 위치를 바꾸어 겹쳐놓은 이미지
img014.jpg,"일루미네이팅 색상 쿠션을 뒤쪽에서 본 이미지, 사용자의 가슴과 배 부분에 닿는 면이다."
img015.jpg,"img014.jpg 와 같은 쿠션의 앞면 이미지, img004.jpg 와 같은 구도, 주머니 색상 얼티밋 그레이"
img016.jpg,img014.jpg 와 같은 쿠션의 겨냥도 이미지
img017.jpg,"img004.jpg, img015.jpg 와 같이 정면 약간 위쪽에서 본 이미지, 얼티밋 그레이 색상, 주머니는 일루미네이팅 색상"
img018.jpg,"img014.jpg 와 같은 쿠션, 같은 구도"
00.png,연인인 남녀가 골프를 치러 가면서 자동차 뒷좌석에서 쿠션을 사용하는 모습
01.png,운전자가 자율주행을 하면서 쿠션을 사용해서 편안한 어깨와 팔 때문에 미소짓는 모습
02.png,01.png 운전자가 장거리 출장을 가다가 휴게소에서 운전석에 앉아 쿠션을 그대로 사용하면서 잠시 노트북으로 업무를 보는 모습
03.png,01.png 운전자가 장거리 출장을 가다가 휴게소에서 운전석에 앉아 쿠션을 그대로 사용하면서 잠시 휴식을 취하면서 독서를 하는 모습
04.png,여성이 동승석에 앉아 스마트폰을 사용하면서 쿠션으로 팔을 지지하는 모습
05.png,04.png 와 같은 여성이 동승석에서 쿠션을 사용하면서 편하게 음료를 마시는 모습
